"workID","oaiID","doi","title","authors","createdDate"
30308326,"["oai:cris.unibo.it:11585\/305323","oai:iris.uniroma1.it:11573\/541750"]",,"Hot Zero and Full Power Validation of PHISICS RELAP-5 Coupling","["A., Epiney","ALFONSI, ANDREA","C., Rabiti","F., Lodi","M., Sumini"]",2016-11-12T07:19:17
18041839,"["oai:bibliotekanauki.pl:1402642","oai:citeseerx.psu:10.1.1.728.6653","oai:arxiv.org:1502.00289"]",10.12693/aphyspola.127.1560,"Radiation damage effects on detectors and eletronic devices in harsh
  radiation environment","["Fiore, S."]",2015-09-24T00:03:21
1105791,"["oai:iris.uniroma1.it:11573\/85990","oai:arxiv.org:nlin\/0604024"]",10.1016/j.physleta.2006.07.011,"Inverse Scattering Problem for Vector Fields and the Cauchy Problem for
  the Heavenly Equation","["Ablowitz","Bogdanov","Bogdanov","Bogdanov","Chakravarty","Courant","Deans","Dunajski","Dunajski","Dunajski","Manakov","Manakov","Manakov","Manas","Neyzi","P.M. Santini","Plebanski","S.V. Manakov","Yang","Zakharov","Zakharov"]",2012-04-13T14:24:20
977992,"["oai:arxiv.org:hep-ph\/0101104","oai:cds.cern.ch:483092"]",10.1103/physrevd.63.114022,"Pion-Pion Phase-Shifts and the Value of Quark-Antiquark Condensate in
  the Chiral Limit","["A. Dobado","A. Dobado","Isabela P. Cavalcante","J. Bijnens","J. Gasser","J. S\u00e1 Borges","J. S\u00e1 Borges","M. J. Lost","M. Knecht","M. Knecht","P. Estrabrooks","S. D. Protopopescu","S. Weinberg"]",2012-04-13T14:22:20
677710,"["oai:arxiv.org:0912.1211"]",,"About a mechanism of the short period 160-min radial pulsations of Sun","["Ivanov, Ivan","Komitov, Boris","Taneva, Valentina"]",2012-04-13T14:17:36
551448,"["oai:arxiv.org:0704.1307","oai:cds.cern.ch:1029633"]",,"Ke4 decays and Wigner cusp","["Masetti, L."]",2012-04-13T14:15:38
903155,"["oai:arxiv.org:cond-mat\/0407249"]",,"Superconductivity controlled by the magnetic state of ferromagnetic
  nanoparticles","["Fraerman, A. A.","Gribkov, B. A.","Gusev, S. A.","Ilichev, E.","Klimov, A. Yu.","Nozdrin, Yu. N.","Pakhomov, G. L.","Rogov, V. V.","Stolz, R.","Vdovichev, S. N."]",2012-04-13T14:21:14
1043016,"["oai:arxiv.org:hep-th\/9410177","oai:cds.cern.ch:270902"]",10.1142/s0217732395001794,"Mirror Symmetry on Arbitrary Dimensional Calabi-Yau Manifold with a few
  moduli","["Nagura, Masaru"]",2012-04-13T14:23:17
31864219,"["oai:generic.eprints.org:51181\/core379"]",,"Green Materials Comparation of Sawdust and Coconut Fibre Acoustical

Waffle Panel","["Hardiman, Gagoek","Setyowati, Erni"]",2017-02-16T01:35:43
58976714,"["oai:arxiv.org:1905.03895"]",,"Periodicity of magnetization reversals in $\varphi_0$ Josephson junction","["Atanasova, P. Kh.","Bashashin, M. V.","Panayotova, S. A.","Rahmonov, I. R.","Shukrinov, Yu. M.","Zemlyanaya, E. V."]",2019-06-02T02:03:19
864120,"["oai:citeseerx.psu:10.1.1.338.2038","oai:arxiv.org:astro-ph\/9712003","oai:cds.cern.ch:339735"]",,"X-ray Clusters at High Redshift","["Gioia, I. M."]",2012-04-13T14:20:33
681438,"["oai:arxiv.org:1001.3040"]",,"Equivalence and integrability of second order linear ODEs","["Czyzycki, Tomasz","Tsyfra, Ivan"]",2012-04-13T14:17:41
83244510,"["oai:doaj.org\/article:7072ce7eded348d788629fae671d3181","oai:cab.unime.it:535"]",10.1478/c1a0702006,"Superpositions in distributions spaces","["Carf\u00ec, David","Magaudda, Maria"]",2014-12-18T01:07:56
17127753,"["oai:arxiv.org:1305.7004"]",,"Faltings' local-global principle for the finiteness of local cohomology
  modules","["Asadollahi, Davood","Naghipour, Reza"]",2014-10-24T19:18:34
965275,"["oai:arxiv.org:hep-ex\/0308071","oai:cds.cern.ch:640294"]",,"Improving ellipticity detection sensitivity for the Q & A vacuum
  birefringence experiment","["Chen, Sheng-Jui","Mei, Hsien-Hao","Ni, Wei-Tou","Wu, Jeah-Sheng"]",2012-04-13T14:22:07
1056153,"["oai:arxiv.org:math-ph\/0106019"]",,"Free particle on SU(2) group manifold","["Chavchanidze, George","Tskipuri, Levan"]",2012-04-13T14:23:27
938450,"["oai:arxiv.org:cond-mat\/9903177"]",10.1103/physrevb.59.9722,"Electronic Structure and Thermoelectric Prospects of Phosphide
  Skutterudites","["B. C. Sales","D. J. Singh","D. J. Singh","D. J. Singh","D. J. Singh","D. Jung","David J. Singh","G. Mahan","G. P. Meisner","H. D. Lutz","L. Nordstr\u00f6m","M. Llunell","Marco Fornari","V. P. Zhukov"]",2012-04-13T14:21:44
649635,"["oai:arxiv.org:0906.1683"]",,"4th Generation Light Sources and elementary particle physics","["Bessonov, E. G."]",2012-04-13T14:17:14
18089281,"["oai:arxiv.org:1508.05747"]",,"Improved analysis of the CLFV decay of muonic atoms $\mu^-e^-\rightarrow
  e^-e^-$","["Kuno, Yoshitaka","Sato, Joe","Sato, Toru","Uesaka, Yuichi","Yamanaka, Masato"]",2015-09-24T01:41:56
1017424,"["oai:arxiv.org:hep-ph\/9908201"]",,"More on Parametrization Relevant to Describe Violation of CP, T and CPT
  Symmetries in the $K^0-\bar{K^0}$ System","["Kouchi, Y.","Takeuchi, Y.","Tsai, S. Y."]",2012-04-13T14:22:54
806135,"["oai:bib-pubdb1.desy.de:95057","oai:arxiv.org:1202.0691"]",,"On quantum effects in spontaneous emission by a relativistic electron
  beam in an undulator","["Geloni, Gianluca","Kocharyan, Vitali","Saldin, Evgeni"]",2012-04-13T14:19:38
17225767,"["oai:arxiv.org:1409.5154"]",,"A note on the Thue chromatic number of lexicographic products of graphs","["Peterin, Iztok","Schreyer, Jens","Taranenko, Andrej","\u0160krabu\u013e\u00e1kov\u00e1, Erika"]",2014-10-24T19:29:32
17146295,"["info:doi\/10.12693%2faphyspola.126.190","oai:arxiv.org:1309.0359","oai:bibliotekanauki.pl:1201833"]",10.12693/aphyspola.126.190,"Correlation effects and spin dependent transport in carbon
  nanostructures","["Krychowski, D.","Lipinski, S."]",2014-10-24T19:20:46
980143,"["oai:arxiv.org:hep-ph\/0108183","oai:cds.cern.ch:517976","oai:citeseerx.psu:10.1.1.345.1879"]",,"Superheavy particles either for UHECR of for muon anomaly","["Chavez, H.","Masperi, L.","Orsaria, M."]",2012-04-13T14:22:22
883206,"["oai:eldorado.tu-dortmund.de:2003\/1997","oai:scholarworks.umass.edu:physics_faculty_pubs-2128","oai:arxiv.org:cond-mat\/0106075","oai:scholarworks.umass.edu:20.500.14394\/40502"]",10.1103/physrevlett.87.270402,"Critical Point of a Weakly Interacting Two-Dimensional Bose Gas","["Prokof'ev, Nikolay","Ruebenacker, Oliver","Svistunov, Boris"]",2012-04-13T14:20:50
1017155,"["oai:cds.cern.ch:392683","oai:arxiv.org:hep-ph\/9907239"]",,"Structure of physical space and new interaction in nature (theory and
  experiments)","["Baurov, Yu. A."]",2012-04-13T14:22:54
1141887,"["oai:cds.cern.ch:643730","oai:arxiv.org:quant-ph\/0309151"]",10.1364/josab.21.000425,"Absorption resonance and large negative delay in Rb vapor with buffer
  gas","["Akulshin","Akulshin","Brandt","Budker","Budker","Dancheva","Erhard","Eugeniy E. Mikhailov","George R. Welch","Godone","Happer","Harris","Harris","Hau","Javan","Kash","Knappe","Liu","Lukin","Phillips","Sautenkov","Taichenachev","Taichenachev","Vladimir A. Sautenkov","Wang","Ye","Yuri V. Rostovtsev","Zibrov"]",2012-04-13T14:24:50
150261447,"["oai:siba-ese.unisalento.it:article\/27702"]",10.1285/i15900932v43n1piii,Preface,"["Albanese, Angela Anna","Altomare, Francesco","Campiti, Michele","Cappelletti Montano, Mirella","Leonessa, Vita"]",2023-10-17T20:13:47
50066468,"["oai:arxiv.org:1803.03016"]",,"Compactly supported solution of the time-fractional porous medium
  equation on the half-line","["P\u0142ociniczak, \u0141ukasz","\u015awita\u0142a, Mateusz"]",2018-03-21T05:50:02
555324,"["oai:cris.fbk.eu:11582\/159003","oai:arxiv.org:0707.0266","oai:pure.qub.ac.uk\/portal:publications\/fd6a4a12-c986-4e06-9696-a3d7b9f9eb13","oai:www.research.unipd.it:11577\/3259975"]",10.1103/physrevb.76.140405,"Increasing entanglement through engineered disorder in the random Ising
  chain","["Binosi, D.","De Chiara, G.","Montangero, S.","Recati, A."]",2012-04-13T14:15:50
1055369,"["oai:arxiv.org:math-ph\/0202006","oai:www.iris.unisa.it:11386\/3140385"]",,"Some Theorems in Thermoelasticity for Micropolar Porous Media","["Iovane, G.","Passarella, F."]",2012-04-13T14:23:28
718897,"["oai:arxiv.org:1008.4439"]",,"Fractional Boltzmann equation for resonance radiation transport in
  plasma","["Sibatov, Renat T.","Uchaikin, Vladimir V."]",2012-04-13T14:18:13
1078343,"["oai:arxiv.org:math\/0410530"]",,"Quantum Groups and Bounded Symmetric Domains","["Sinel'shchikov, S.","Vaksman, L."]",2012-04-13T14:23:48
256278,"["oai:eprints.ucl.ac.uk.oai2:10001799","oai:eprints.ioe.ac.uk.oai2:1799","oai:eprints.lse.ac.uk:26479","oai:centaur.reading.ac.uk:16376"]",10.1093/oep/gpp004,"Higher education academic salaries in the UK","["A. Vignoles","J. Walker","M. Collins","MCNABB","Stevens"]",2012-02-10T01:21:21
4194145,"["oai:strathprints.strath.ac.uk:8068","oai:eprints.gla.ac.uk:98055"]",10.1016/j.cnsns.2009.03.032,"Solar sail orbits at the Earth-Moon libration points","["McInnes, Colin R.","Simo, Jules"]",2012-08-01T18:30:37
724262,"["oai:arxiv.org:1010.2369"]",,"Haldane state with toroidal magnetic order","["Belyavsky, V. I.","Kopaev, Yu. V."]",2012-04-13T14:18:20
907632,"["oai:arxiv.org:cond-mat\/0501021","oai:www.iris.unina.it:11588\/9084","oai:hal:hal-00541612v1"]",10.1103/physrevb.71.121310,"Rashba-control for the spin excitation of a fully spin polarized
  vertical quantum dot","["A. H. MacDonald","A. Tagliacozzo","B. Jouault","B. Jouault","B. L. Altshuler","D. Grundler","E. I. Rashba","E. I. Rashba","L. Jacak","L. P. Kouwenhoven","M. Stopa","P. Lucignano","S. L. Sondhi","V. Gudmundsson"]",2012-04-13T14:21:18
18074834,"["oai:arxiv.org:1506.06899"]",,"A review on memristor applications","["Gelao, Gennaro","Marani, Roberto","Perri, Anna Gina"]",2015-09-24T00:43:29
145911100,"["oai:zenodo.org:8926"]",10.5281/zenodo.8926,"SOME CONNECTIONS BETWEEN THE SMARANDACHE FUNCTION AND THE FIBONACCI SEQUENCE","["Dunutrescu, C.","Rocsoreanu, C."]",2016-02-18T12:51:10
2252936,"["oai:authors.library.caltech.edu:9822"]",10.1109/jqe.1974.1068188,"Frequency, intensity, and field fluctuations in laser oscillators","["Caton, William M.","Yariv, Amnon"]",2012-06-22T18:19:56
598495,"["oai:arxiv.org:0805.4765"]",,"Markov chain-based stability analysis of growing networks","["Hou, Zhenting","Shi, Dinghua","Tong, Jinying"]",2012-04-13T14:16:27
1078480,"["oai:arxiv.org:math\/0411145"]",,"Information on some recent applications of umbral extensions to discrete
  mathematics","["Kwasniewski, A. K."]",2012-04-13T14:23:49
24767140,"["oai:arxiv.org:1602.03744"]",,"The question of charge and of mass","["Dolocan, Voicu"]",2016-08-03T02:44:41
784823,"["oai:arxiv.org:1110.4905"]",10.1016/j.jmmm.2012.03.034,"Exchange-spring behavior in bimagnetic CoFe2O4/CoFe2 nanocomposite","["Alzamora, Mariella","Baggio-Saitovitch, Elisa","Chagas, Edson F.","Leite, Gustavo C. P.","Pereira, Rodrigo","Prado, Rogerio J.","Terezo, Ailton J."]",2012-04-13T14:19:18
981162,"["oai:cds.cern.ch:519319","oai:arxiv.org:hep-ph\/0109208"]",10.1103/physrevd.65.096001,"Contribution of $\alpha^2$-terms to the total interaction cross sections
  of relativistic elementary atoms with atoms of matter","["A. Tarasov","A.V. Kuptsov","D.Yu. Ivanov","G Moli\u00e8re","G.H. Gillespie","G.H. Gillespie","I. Amirkhanov","K.G. Denisenko","L. Afanasyev","L. Afanasyev","L.G. Afanasyev","L.G. Afanasyev","L.S. Dul\u2019yan","O. Voskresenskaya","O.O. Voskresenskaya","S. Mr\u00f3wczy\u0144ski","S. Mr\u00f3wczy\u0144ski","Z. Halabuka"]",2012-04-13T14:22:22
680961,"["oai:arxiv.org:1001.2676"]",,"A de Rham theorem with respect to the Liouville foliation on TM^0, for a
  Finsler manifold M","["Manea, Adelina"]",2012-04-13T14:17:41
725867,"["oai:arxiv.org:1010.5388"]",,"Helstrom's Theory on Quantum Binary Decision Revisited","["Cariolaro, Gianfranco","Vigato, Alberto"]",2012-04-13T14:18:22
747533,"["oai:arxiv.org:1103.3539"]",,"Link Algebra: A new aproach to graph theory","["Bustamante, Alfonso"]",2012-04-13T14:18:44
1087626,"["oai:arxiv.org:math\/0605270","oai:citeseerx.psu:10.1.1.241.4954","oai:citeseerx.psu:10.1.1.241.2015"]",,"On the moment map on symplectic manifolds","["Biliotti, Leonardo"]",2012-04-13T14:23:58
939542,"["oai:arxiv.org:cond-mat\/9905215"]",10.1103/physreve.61.5924,"Monte Carlo Renormalization Group Analysis of Lattice $\phi^4$ Model in
  $D=3,4$","["A.M. Ferrenberg","C.F. Baillie","D. Espriu","D. J. Amit","E. Brezin","E. Luijten","E. Luijten","E. Luijten","E. Luijten","G. Parisi","G. Parisi","G.S. Pawley","H. Kawamura","H.G. Ballesteros","H.W.J. Bl\u00f6te","H.W.J. Bl\u00f6te","J.J. Binney","K. Binder","K.G. Wilson","K.K. Mon","K.K. Mon","L.P. Kadanoff","M. Hasenbusch","M. Itakura","M. Itakura","R. Guida","R.H. Swendsen","U. Wolff","X. Hu","X.S. Chen"]",2012-04-13T14:21:44
17200885,"["oai:arxiv.org:1406.1323"]",,"A new proof of Faltings' local-global principle for the finiteness of
  local cohomology modules","["Asadollahi, Davood","Naghipour, Reza"]",2014-10-24T19:26:56
18038149,"["oai:arxiv.org:1501.02958"]",,"Oscillometric continuous blood pressure sensing for wearable health
  monitoring system","["Gelao, Gennaro","Marani, Roberto","Passaro, Vittorio M. N.","Perri, Anna Gina"]",2015-09-24T00:01:28
1017774,"["oai:citeseerx.psu:10.1.1.347.1157","oai:arxiv.org:hep-ph\/9909384","oai:citeseerx.psu:10.1.1.346.7008","oai:sedici.unlp.edu.ar:10915\/129257","oai:sedici.unlp.edu.ar:10915\/131205"]",10.1016/s0370-2693(02)02268-2,"Weak Interactions Effect on the P-N Mass Splitting and the Principle of
  Equivalence","["Braginski","Christiansen","Cl\u00e9ment","Cottingham","Damour","Damour","Einstein","Eisberg","Epele","Epele","Fishbach","Galster","Gasperini","Gasser","H. Vucetich","Hambye","Haughan","Haughan","Hughes","Jain","Keiser","Kenyon","Mann","Mei\u00dfner","Mukhopadhyay","Musolf","N. Chamoun","Nieto","Overduin","Park","Reinhard","Roll","Su","Vucetich","Weinberg","Will"]",2012-04-13T14:22:55
4195356,"["oai:strathprints.strath.ac.uk:13274"]",,"Analysis and control of displaced periodic orbits in the Earth-Moon system","["McInnes, Colin R.","Simo, Jules"]",2012-08-01T18:30:53
684105,"["oai:arxiv.org:1002.0959"]",,"The origin of quantum nonlocality","["Hong, Fang-Yu"]",2012-04-13T14:17:44
1002057,"["oai:cds.cern.ch:260231","oai:arxiv.org:hep-ph\/9403262"]",10.1016/0375-9601(94)00965-r,"Instanton -- Antiinstanton interaction and asymptotics of perturbation
  theory expansion in double well oscillator","["'t Hooft","Balitsky","Bogomolny","Brezin","Coleman","Landau","Lipatov","P.G. Silvestrov","S.V. Faleev","Shuryak","Zakharov","Zinn-Justin","Zinn-Justin","Zinn-Justin"]",2012-04-13T14:22:41
4193611,"["oai:strathprints.strath.ac.uk:6990"]",,"Solar sail trajectories at the Earth-Moon Lagrange points","["McInnes, Colin R.","Simo, Jules"]",2012-08-01T18:30:32
54503355,"["oai:repository.upi.edu:32703"]",,"BIMBINGAN PRIBADI SOSIAL UNTUK

MENINGKATKAN PENYESUAIAN SOSIAL DI

PERGURUAN TINGGI : Penelitian Kuasi Eksperimen pada Mahasiswa Jurusan IPSE Universitas Pendidikan Indonesia Tahun Akademik 2016/2017","["Pertiwi, Feby Nur"]",2019-02-26T01:36:40
1099246,"["oai:arxiv.org:math\/9809078"]",10.1088/0305-4470/31/42/008,"Free Field Realization of Vertex Operators for Level Two Modules of
  $U_q(\hat{sl(2)})$","["Chari V","Corrigan E F","Corrigan E F","Date E","Davies B","Drinfeld V G","Frenkel I B","Friedan D","Idzumi M","Idzumi M","Jimbo M","Kato M","Yuji Hara"]",2012-04-13T14:24:07
155997402,"["oai:ojs.journals.uran.ua:article\/219269"]",10.31319/2519-8106.2(43)2020.219269,"DETERMINATION OF OPTIMAL PARAMETERS TO RECEIPT THE SEMICONDUCTOR TAPES OF CdSe/ZnTe ON BASIS OF MATHEMATICAL MODEL","["\u0414\u0456\u0434\u043e\u0431\u043e\u0440\u0435\u0446\u044c, \u041e\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0419\u043e\u0441\u0438\u043f\u043e\u0432\u0438\u0447","\u041a\u043b\u0454\u0446\u043a\u043e\u0432, \u041e\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u041c\u0438\u043a\u043e\u043b\u0430\u0439\u043e\u0432\u0438\u0447","\u0426\u043e\u0446\u043a\u043e, \u0412\u0456\u0442\u0430\u043b\u0456\u0439 \u0406\u0432\u0430\u043d\u043e\u0432\u0438\u0447"]",2024-07-04T11:28:35
76382996,"["oai:ojs.cab.unime.it:article\/1949"]",10.1478/aapp.97s2a19,"Study of convective motions and analysis of the impact of physical parametrization on the WRF-ARW forecast model","["Caccamo, Maria Teresa","Castorina, Giuseppe","Magaz\u00f9, Salvatore"]",2020-01-02T17:06:46
85608667,"["oai:neliti.com:320713","oai:ojs2.rsglobal.pl:article\/594"]",,"EKMAN LAYER ROLLS AND THEIR MATHEMATICAL MODELING","["Aniskina O.","Loskutova M."]",2020-05-11T18:48:48
82290643,"["oai:ojs.jrnl.nau.edu.ua:article\/11216"]",10.18372/1990-5548.48.11216,"Один із методів скидання авіаційного підвісного блока із змінною геометрією","["Stepanenko, I. C.","Tupitsin, N. F.","Yurchenko, A. S."]",2020-04-10T15:33:08
713151,"["oai:arxiv.org:1008.0947"]",,"Optimal Black Holes are the Cosmological Objects, which Minimize Volume
  of Information in Areas of the Universe and in the Universe as a Whole","["Gurevich, Igor"]",2012-04-13T14:18:11
934204,"["oai:citeseerx.psu:10.1.1.305.7859","oai:arxiv.org:cond-mat\/9801257","oai:citeseerx.psu:10.1.1.305.7670"]",10.1016/s0921-4526(97)00437-7,"Superconducting Quantum Interference in Fractal Percolation Films.
  Problem of 1/f Noise","["A.E. Kolinko","A.M. Glukhov","A.P. Panchekha","A.S. Pokhila","Akhromeeva","Bak","Clarke","De Waele","Gaponov-Grekhov","Gerber","Glazman","Glukhov","Glukhov","Grassberger","Grib","Hurst","I.M. Dmitrenko","Kapitulnik","Litvinenko","Mandelbrot","Mandelbrot","Osborn","Stauffer","Takens","Theiler","Theiler","Yurchenko"]",2012-04-13T14:21:39
641084,"["oai:arxiv.org:0904.2322"]",,"Polynomially spectrum-preserving maps between commutative Banach
  algebras","["Hatori, Osamu","Miura, Takeshi","Takagi, Hiroyuki"]",2012-04-13T14:17:05
43121672,"["oai:arxiv.org:1707.04069"]",,"Characterization of frequency stability in EIT-based atomic clocks using
  a differential detection scheme","["Guidry, Melissa A.","Kuchina, Elena","Mikhailov, Eugeniy E.","Novikova, Irina"]",2017-07-23T18:39:07
17027722,"["oai:arxiv.org:1212.1782"]",10.1007/s11182-012-9715-7,"On geometric interpretation of the Berry phase","["Katanaev, M. O."]",2014-10-23T17:20:55
2742262,[],,"TERRITORIAL AND NATURAL PRIORITIES OF MACEDONIA - IMPORTANT FACTOR FOR TOBACCO PRODUCTION DEVELOPMENT","["Arsov, Zlatko","Kabranova, Romina"]",2012-07-06T03:56:59
682487,"["oai:eprints.ucl.ac.uk.oai2:1405573","oai:arxiv.org:1001.0773","oai:dare.uva.nl:publications\/410a08c5-8eda-452e-8131-a0fdfa9da34b","oai:dare.uva.nl:openaire_cris_publications\/410a08c5-8eda-452e-8131-a0fdfa9da34b","oai:eprints.ucl.ac.uk.oai2:406169"]",10.1109/mc.2009.419,"Simulating the universe on an intercontinental grid of supercomputers","["de Laat, Cees","Groen, Derek","Grosso, Paola","Harfst, Stefan","Hiraki, Kei","Ishiyama, Tomoaki","Makino, Junichiro","McMillan, Stephen","Nitadori, Keigo","Zwart, Simon Portegies"]",2012-04-12T19:10:00
122454776,"["oai:journal.unipdu.ac.id:article\/373","oai:ojs.pkp.sfu.ca:article\/373","oai:ojs.test1.journal.unipdu.ac.id:article\/373"]",,"ENINGKATKAN KEMAMPUAN BERPIKIR KREATIF  MATEMATIS SISWA  MELALUI PENDEKATAN OPEN-ENDED","["-, Suhandri"]",2019-12-15T03:27:39
962027,"["oai:citeseerx.psu:10.1.1.340.6243","oai:arxiv.org:gr-qc\/9909023","oai:cds.cern.ch:399037","oai:citeseerx.psu:10.1.1.340.6091"]",,"New methods in the theory of gauge fields","["Koryukin, Valery"]",2012-04-13T14:22:05
78073400,"["info:doi\/10.1117%2f12.2206001"]",10.1117/12.2206001,"On the effect of cloud microstructure on the polarization characteristics of double scattering lidar return","["Bryukhanova, Valentina Vladimirovna","Doroshkevich, Anton A."]",2020-02-26T20:42:00
17228382,"["oai:arxiv.org:1409.8236"]",10.1016/j.apm.2012.10.028,"Approximate self-similar solutions for the boundary value problem
  arising in modeling of gas flow in porous media with pressure dependent
  permeability","["Kochanov, Mark B.","Kudryashov, Nikolay A.","Savatorova, Viktoria L."]",2014-10-24T19:29:48
43118840,"["oai:edpsciences.org:dkey\/10.1140\/epjst\/e2018-00073-1","oai:arxiv.org:1707.01135"]",10.1140/epjst/e2018-00073-1,"Comments on the Properties of Mittag-Leffler Function","["Dattoli, Giuseppe","Gorska, Katarzyna","Horzela, Andrzej","Licciardi, Silvia","Pidatella, Rosa Maria"]",2017-07-23T18:36:50
52231131,"["oai:arxiv.org:1808.07959"]",,"Supporting Crowd-Powered Science in Economics: FRACTI, a Conceptual
  Framework for Large-Scale Collaboration and Transparent Investigation in
  Financial Markets","["Faleiro, Jorge","Tsang, Edward"]",2018-09-08T08:15:07
52211853,"["oai:arxiv.org:1806.05066"]",,"Perturbation determinants on Banach spaces and operator
  differentiability for Hirsch functional calculus","["Mirotin, Adolf"]",2018-09-08T08:02:08
889477,"["oai:scholarworks.umass.edu:20.500.14394\/40528","oai:arxiv.org:cond-mat\/0206223","oai:scholarworks.umass.edu:physics_faculty_pubs-2187"]",10.1103/physreva.66.043608,"Two-Dimensional Weakly Interacting Bose Gas in the Fluctuation Region","["Prokof'ev, Nikolay","Svistunov, Boris"]",2012-04-13T14:20:56
678655,"["oai:arxiv.org:1001.0457","oai:iris.unito.it:2318\/78944","oai:citeseerx.psu:10.1.1.756.1458"]",10.1007/s10711-010-9537-0,"Homological Type of Geometric Transitions","["B. Geemen Van","C. Schoen","C.H. Clemens","D. Joyce","D.R. Morrison","F. Enriques","H. Hidaka","J. Koll\u00e1r","J. Milnor","K. Kodaira","M. Banagl","M. Reid","M. Reid","M. Schlessinger","Michele Rossi","P. Candelas","P.M.H. Wilson","P.M.H. Wilson","P.S. Green","P.S. Green","R. Friedman","R. Hartshorne","R. Miranda","W. Barth","Y. Kawamata","Y. Namikawa","Y. Namikawa"]",2012-04-13T14:17:40
11339785,"["oai:ojs.bphm.univ.kiev.ua:article\/273"]",10.17721/1812-5409.2021/2.14,"Необхідні умови для розв’язків рівнянь змішаного типу","["Niftullayeva, Sh."]",2021-12-28T13:56:33
